
=== LR(1) Transition Table (1802 entries) ===
  State 180 --( + )--> State 107
  State 180 --( - )--> State 108
  State 181 --( =? )--> State 89
  State 181 --( >= )--> State 90
  State 181 --( <= )--> State 91
  State 181 --( > )--> State 92
  State 181 --( < )--> State 93
  State 181 --( RelOp )--> State 116
  State 182 --( Eval )--> State 119
  State 182 --( Term )--> State 120
  State 182 --( Factor )--> State 121
  State 182 --( - )--> State 122
  State 182 --( ( )--> State 123
  State 182 --( integer )--> State 124
  State 182 --( floating )--> State 125
  State 182 --( name )--> State 126
  State 182 --( litstring )--> State 127
  State 182 --( true )--> State 128
  State 182 --( false )--> State 129
  State 182 --( Access )--> State 130
  State 182 --( AccessBase )--> State 131
  State 182 --( Identifier )--> State 134
  State 182 --( Relation )--> State 135
  State 182 --( LogAnd )--> State 223
  State 182 --( Negative )--> State 137
  State 183 --( Term )--> State 224
  State 183 --( Factor )--> State 121
  State 183 --( - )--> State 122
  State 183 --( ( )--> State 123
  State 183 --( integer )--> State 124
  State 183 --( floating )--> State 125
  State 183 --( name )--> State 126
  State 183 --( litstring )--> State 127
  State 183 --( true )--> State 128
  State 183 --( false )--> State 129
  State 183 --( Access )--> State 130
  State 183 --( AccessBase )--> State 131
  State 183 --( Identifier )--> State 134
  State 183 --( Negative )--> State 137
  State 184 --( Term )--> State 225
  State 184 --( Factor )--> State 121
  State 184 --( - )--> State 122
  State 184 --( ( )--> State 123
  State 184 --( integer )--> State 124
  State 184 --( floating )--> State 125
  State 184 --( name )--> State 126
  State 184 --( litstring )--> State 127
  State 184 --( true )--> State 128
  State 184 --( false )--> State 129
  State 184 --( Access )--> State 130
  State 184 --( AccessBase )--> State 131
  State 184 --( Identifier )--> State 134
  State 184 --( Negative )--> State 137
  State 185 --( Factor )--> State 121
  State 185 --( - )--> State 122
  State 185 --( ( )--> State 123
  State 185 --( integer )--> State 124
  State 185 --( floating )--> State 125
  State 185 --( name )--> State 126
  State 185 --( litstring )--> State 127
  State 185 --( true )--> State 128
  State 185 --( false )--> State 129
  State 185 --( Access )--> State 130
  State 185 --( AccessBase )--> State 131
  State 185 --( Identifier )--> State 134
  State 185 --( Negative )--> State 226
  State 186 --( Factor )--> State 121
  State 186 --( - )--> State 122
  State 186 --( ( )--> State 123
  State 186 --( integer )--> State 124
  State 186 --( floating )--> State 125
  State 186 --( name )--> State 126
  State 186 --( litstring )--> State 127
  State 186 --( true )--> State 128
  State 186 --( false )--> State 129
  State 186 --( Access )--> State 130
  State 186 --( AccessBase )--> State 131
  State 186 --( Identifier )--> State 134
  State 186 --( Negative )--> State 227
  State 188 --( ) )--> State 228
  State 188 --( || )--> State 106
  State 189 --( Expr )--> State 118
  State 189 --( Eval )--> State 119
  State 189 --( Term )--> State 120
  State 189 --( Factor )--> State 121
  State 189 --( - )--> State 122
  State 189 --( ( )--> State 123
  State 189 --( integer )--> State 124
  State 189 --( floating )--> State 125
  State 189 --( name )--> State 126
  State 189 --( litstring )--> State 127
  State 189 --( true )--> State 128
  State 189 --( false )--> State 129
